user_id,age_category,Category 01,Category 02,Category 03,Category 04,Category 05,Category 06,Category 07,Category 08,Category 09,Category 10,Category 11,Category 12,Category 13,Category 14,Category 15,Category 16,Category 17,Category 18,Category 19,Category 20,ads_activity,surf_depth,primary_device,cloud_usage
011b-f95ae7e78bb716e483dc-b8ba402b,3,18.0,11.0,16.0,11.0,9.0,11.0,5.0,0.0,2.0,22.0,3.0,1.0,6.0,18.0,30.0,16.0,10.0,20.0,12.0,6.0,умеренно,средне,смартфон,True
012f-c5416db6191a72ec734f-f0bb3c84,4,11.0,2.0,8.0,4.0,9.0,3.0,6.0,8.0,11.0,2.0,3.0,7.0,13.0,2.0,0.0,1.0,3.0,8.0,1.0,3.0,очень редко,средне,смартфон,True
0130-d387b4dd1057a41e38ae-70681eda,4,0.0,12.0,6.0,10.0,8.0,7.0,6.0,2.0,11.0,8.0,2.0,4.0,31.0,3.0,2.0,1.0,7.0,1.0,7.0,6.0,редко,поверхностно,смартфон,True
015c-b8969102ca26111e5e95-52fe7d63,0,0.0,7.0,0.0,4.0,7.0,7.0,3.0,6.0,4.0,1.0,4.0,5.0,17.0,4.0,4.0,2.0,4.0,9.0,7.0,5.0,умеренно,средне,смартфон,False
0164-89abe1b22c6a7738dc97-a7cfbe96,2,3.0,22.0,18.0,7.0,11.0,17.0,22.0,26.0,15.0,12.0,16.0,19.0,0.0,14.0,7.0,27.0,9.0,10.0,12.0,3.0,часто,средне,смартфон,True
0167-4038de704e0fafb991b2-48bb71a4,0,2.0,6.0,2.0,16.0,13.0,16.0,7.0,12.0,6.0,0.0,5.0,15.0,10.0,12.0,5.0,5.0,6.0,12.0,18.0,9.0,умеренно,средне,смартфон,False
0193-5b97e76f0c76d662a365-eeaf58be,1,15.0,17.0,0.0,12.0,18.0,17.0,10.0,6.0,6.0,7.0,15.0,13.0,13.0,17.0,11.0,14.0,9.0,15.0,8.0,14.0,редко,поверхностно,смартфон,False
019d-bef6f8d12c30edd52294-bf98b981,2,15.0,11.0,25.0,6.0,4.0,1.0,7.0,12.0,7.0,5.0,17.0,11.0,0.0,8.0,13.0,16.0,0.0,13.0,8.0,13.0,умеренно,глубоко,смартфон,True
01a0-2555c4ee5b625ae5a7d6-0feff030,1,11.0,7.0,12.0,4.0,12.0,8.0,14.0,2.0,0.0,6.0,5.0,4.0,8.0,7.0,8.0,7.0,5.0,2.0,18.0,6.0,умеренно,поверхностно,смартфон,False
01a2-f8827773e28ff9ad8e95-afd546a6,4,1.0,0.0,6.0,6.0,6.0,8.0,3.0,3.0,3.0,4.0,1.0,5.0,19.0,6.0,6.0,3.0,6.0,0.0,12.0,13.0,редко,поверхностно,ноутбук,True
01a7-cdb3c90b567c222b9542-1ee82dc6,3,7.0,12.0,7.0,19.0,0.0,7.0,18.0,9.0,16.0,13.0,6.0,10.0,8.0,18.0,17.0,11.0,10.0,8.0,13.0,2.0,редко,средне,планшет,True
01bf-70bfa15821f12e9c55d2-a3534c54,4,2.0,4.0,4.0,15.0,6.0,7.0,12.0,5.0,8.0,8.0,0.0,6.0,20.0,11.0,5.0,1.0,17.0,2.0,4.0,8.0,часто,поверхностно,смартфон,False
01c0-7e5a272c6bda88235ad1-020c08d3,0,0.0,3.0,7.0,6.0,12.0,11.0,8.0,3.0,0.0,1.0,0.0,10.0,18.0,2.0,2.0,4.0,2.0,7.0,2.0,12.0,очень редко,поверхностно,смартфон,True
01d1-a49a991c5fb4732dc107-8781626f,2,6.0,7.0,10.0,3.0,13.0,8.0,4.0,8.0,3.0,0.0,9.0,2.0,1.0,6.0,3.0,11.0,4.0,3.0,1.0,1.0,очень часто,поверхностно,смартфон,False
01f2-08cc49f5894778533c81-d5fae3a9,2,3.0,11.0,11.0,0.0,9.0,8.0,16.0,9.0,4.0,5.0,12.0,10.0,1.0,6.0,8.0,7.0,0.0,6.0,6.0,8.0,умеренно,средне,смартфон,True
01f3-de6aa32d0b5b1c48c322-10f9aa30,2,29.0,6.0,8.0,7.0,3.0,4.0,17.0,7.0,10.0,13.0,7.0,7.0,12.0,0.0,22.0,0.0,22.0,9.0,6.0,23.0,умеренно,поверхностно,ПК,True
01fe-4c7aafe137a1ebbb35b7-2885e126,3,3.0,6.0,13.0,11.0,0.0,11.0,14.0,16.0,17.0,8.0,0.0,2.0,20.0,11.0,8.0,13.0,7.0,11.0,3.0,10.0,редко,поверхностно,планшет,True
0203-c814557b862f74abed46-3832d193,2,8.0,11.0,4.0,0.0,8.0,9.0,9.0,12.0,2.0,10.0,11.0,12.0,0.0,8.0,0.0,9.0,9.0,1.0,5.0,4.0,редко,средне,смартфон,True
0204-aa75d1b1f989a2df544f-eb3999fe,2,11.0,7.0,25.0,2.0,2.0,11.0,16.0,13.0,9.0,19.0,7.0,2.0,16.0,19.0,30.0,0.0,13.0,10.0,18.0,14.0,часто,поверхностно,смартфон,True
0207-16b0067578c83f8d92ee-39d661ac,4,7.0,0.0,12.0,3.0,7.0,6.0,5.0,9.0,10.0,5.0,0.0,2.0,13.0,0.0,8.0,3.0,9.0,6.0,5.0,3.0,очень редко,средне,планшет,False
020b-d5f19aaafb15cf9e8324-f5b26d5c,4,11.0,5.0,20.0,3.0,12.0,5.0,14.0,13.0,18.0,0.0,0.0,4.0,23.0,2.0,0.0,4.0,4.0,15.0,3.0,2.0,умеренно,поверхностно,смартфон,True
020f-cdc360e00e1fde7e66a3-ea28f236,4,3.0,0.0,10.0,3.0,11.0,4.0,3.0,6.0,6.0,3.0,4.0,3.0,6.0,9.0,8.0,7.0,8.0,9.0,2.0,3.0,очень редко,поверхностно,ПК,False
0217-17b504a06ce90f0c0441-ce7e7aa2,0,11.0,13.0,4.0,16.0,2.0,13.0,3.0,7.0,14.0,10.0,5.0,21.0,0.0,7.0,7.0,4.0,10.0,17.0,24.0,20.0,умеренно,средне,планшет,True
0218-0d28583d6c95826623e1-4a3e4c68,4,11.0,6.0,8.0,2.0,14.0,3.0,4.0,12.0,8.0,13.0,9.0,0.0,1.0,5.0,4.0,6.0,7.0,13.0,2.0,1.0,редко,глубоко,смартфон,False
0223-eec09b7f3655e69d6010-88a302eb,4,11.0,2.0,14.0,10.0,12.0,6.0,9.0,9.0,13.0,8.0,6.0,9.0,12.0,0.0,16.0,6.0,10.0,7.0,9.0,8.0,редко,средне,смартфон,False
0223-fe3d747562a2e035505d-805da8b9,4,11.0,0.0,19.0,14.0,13.0,12.0,19.0,6.0,20.0,14.0,4.0,7.0,28.0,0.0,22.0,2.0,16.0,5.0,7.0,10.0,редко,поверхностно,ноутбук,False
022d-41f220f624f077f22701-3c81d208,0,5.0,0.0,6.0,3.0,3.0,4.0,4.0,6.0,0.0,3.0,1.0,10.0,1.0,3.0,0.0,9.0,6.0,15.0,9.0,15.0,очень редко,поверхностно,смартфон,False
0237-a171445f4d257b69af74-b09bab6c,3,19.0,13.0,0.0,8.0,8.0,10.0,7.0,15.0,10.0,12.0,10.0,11.0,0.0,14.0,11.0,6.0,7.0,6.0,3.0,7.0,умеренно,средне,смартфон,False
0238-216484c52c1ab2a6ce0e-1d3cc610,1,11.0,2.0,11.0,4.0,9.0,5.0,5.0,0.0,2.0,4.0,2.0,8.0,6.0,8.0,1.0,2.0,5.0,2.0,7.0,6.0,умеренно,поверхностно,смартфон,True
023f-f2165944195e7dbda36c-307b1263,2,11.0,1.0,37.0,6.0,6.0,5.0,17.0,18.0,8.0,8.0,3.0,0.0,16.0,12.0,13.0,9.0,0.0,1.0,7.0,16.0,умеренно,средне,смартфон,True
0246-e19c2db073cec9ecf2cd-40e5f05e,4,0.0,14.0,11.0,18.0,4.0,12.0,13.0,0.0,18.0,13.0,0.0,6.0,30.0,6.0,11.0,11.0,6.0,4.0,10.0,6.0,редко,средне,смартфон,False
024b-cb9ecf0322ad879ddd78-251d53e2,4,3.0,1.0,20.0,12.0,12.0,3.0,12.0,0.0,6.0,8.0,1.0,3.0,24.0,3.0,10.0,9.0,7.0,3.0,8.0,5.0,умеренно,средне,ПК,False
0254-3c0cde95cf128a274619-2de60b94,3,10.0,9.0,0.0,13.0,4.0,8.0,10.0,11.0,10.0,14.0,7.0,5.0,15.0,7.0,7.0,8.0,9.0,8.0,7.0,6.0,редко,поверхностно,смартфон,True
0259-a9907d16efbe00c4e18a-ce0364c9,1,4.0,5.0,5.0,15.0,6.0,3.0,4.0,8.0,5.0,0.0,4.0,9.0,1.0,7.0,3.0,3.0,3.0,8.0,4.0,4.0,очень часто,глубоко,смартфон,True
025f-2693cd775611170c6031-a9e52b28,3,9.0,12.0,15.0,7.0,10.0,12.0,3.0,2.0,5.0,2.0,5.0,4.0,15.0,0.0,4.0,5.0,6.0,4.0,4.0,8.0,часто,поверхностно,ноутбук,True
0275-c7024799631263a467d0-46442b96,4,14.0,0.0,20.0,3.0,16.0,0.0,9.0,15.0,8.0,5.0,9.0,4.0,23.0,8.0,14.0,3.0,19.0,19.0,2.0,12.0,часто,средне,ПК,False
0277-41d744838da31a5aa74f-47c56f5b,1,8.0,11.0,0.0,13.0,6.0,17.0,9.0,14.0,15.0,17.0,19.0,10.0,11.0,13.0,14.0,12.0,13.0,15.0,10.0,6.0,умеренно,поверхностно,ноутбук,False
027c-3e12ef9ae38b74838bcf-354987c0,2,4.0,7.0,23.0,0.0,5.0,1.0,10.0,11.0,4.0,8.0,4.0,9.0,1.0,2.0,9.0,9.0,0.0,9.0,17.0,8.0,умеренно,поверхностно,смартфон,True
027c-b15b193190bff898f623-35dd48a5,4,8.0,0.0,10.0,3.0,2.0,4.0,5.0,3.0,7.0,8.0,3.0,9.0,15.0,2.0,6.0,4.0,2.0,3.0,9.0,9.0,очень редко,глубоко,ПК,False
02a3-59c14f2cd2c8aa6c95ec-23efd142,4,4.0,0.0,9.0,17.0,8.0,5.0,10.0,1.0,14.0,11.0,1.0,0.0,21.0,14.0,5.0,6.0,4.0,0.0,7.0,16.0,часто,средне,смартфон,False
02ad-bc0b1fccbe398b5102ec-80ffc9e0,4,29.0,6.0,21.0,9.0,7.0,12.0,5.0,15.0,27.0,10.0,13.0,10.0,0.0,8.0,11.0,5.0,19.0,22.0,18.0,6.0,часто,поверхностно,ноутбук,True
02ae-9b7f469dbb486811da82-b3e2f501,4,1.0,0.0,10.0,8.0,6.0,10.0,6.0,0.0,16.0,19.0,0.0,3.0,32.0,8.0,5.0,6.0,11.0,0.0,5.0,9.0,умеренно,поверхностно,смартфон,True
02c0-aa3ba330ca2f75828a11-7e5edc3e,2,12.0,0.0,28.0,6.0,4.0,6.0,11.0,18.0,1.0,9.0,0.0,1.0,1.0,3.0,7.0,2.0,4.0,0.0,16.0,6.0,часто,средне,смартфон,True
02d4-8707e8f46c6769731dd5-c268adff,4,10.0,5.0,1.0,9.0,8.0,7.0,7.0,8.0,12.0,7.0,7.0,7.0,0.0,7.0,11.0,10.0,2.0,5.0,5.0,5.0,очень редко,поверхностно,планшет,False
02ee-393632af9f8a08bed94d-ba26429d,2,27.0,11.0,27.0,5.0,13.0,6.0,14.0,15.0,15.0,14.0,10.0,13.0,0.0,13.0,8.0,20.0,17.0,9.0,26.0,20.0,умеренно,средне,смартфон,True
02fd-c2c47505a29c97d7c45c-ffd9509d,2,4.0,10.0,2.0,3.0,4.0,9.0,11.0,6.0,2.0,2.0,6.0,5.0,0.0,5.0,7.0,8.0,2.0,4.0,5.0,5.0,очень часто,поверхностно,смартфон,False
0300-e28110f21f38cb245946-2cfbab28,3,4.0,5.0,5.0,10.0,0.0,3.0,7.0,8.0,8.0,5.0,0.0,4.0,11.0,4.0,6.0,7.0,4.0,2.0,6.0,4.0,очень редко,поверхностно,ПК,False
0316-4ef0e456d85e8b1c8e46-011100e3,2,11.0,6.0,13.0,6.0,6.0,5.0,9.0,14.0,6.0,5.0,2.0,2.0,0.0,8.0,11.0,2.0,5.0,7.0,8.0,6.0,умеренно,поверхностно,смартфон,False
0319-8c2e24c4cd42b13add89-f0ff800c,3,3.0,4.0,15.0,10.0,2.0,11.0,0.0,14.0,8.0,13.0,1.0,4.0,9.0,0.0,16.0,4.0,1.0,17.0,11.0,3.0,часто,средне,смартфон,False
031c-e8d95f0ec084448faed8-a61bd4a3,0,8.0,3.0,22.0,10.0,9.0,6.0,7.0,12.0,0.0,10.0,4.0,10.0,8.0,6.0,7.0,16.0,8.0,16.0,17.0,15.0,редко,глубоко,смартфон,False
0328-c235a86967562dd58480-9ded47d5,0,4.0,4.0,21.0,13.0,7.0,5.0,8.0,7.0,7.0,5.0,4.0,11.0,9.0,1.0,1.0,5.0,0.0,9.0,12.0,15.0,редко,поверхностно,планшет,True
0329-40d0709763fadbb45d5b-1ffd2780,4,11.0,0.0,16.0,6.0,9.0,2.0,11.0,11.0,16.0,2.0,4.0,9.0,8.0,1.0,14.0,8.0,9.0,16.0,1.0,5.0,умеренно,поверхностно,смартфон,False
033d-243b8d6e70fccbe40b11-6f550bc4,2,18.0,5.0,13.0,10.0,14.0,4.0,13.0,22.0,0.0,14.0,12.0,2.0,12.0,3.0,25.0,0.0,10.0,10.0,18.0,14.0,умеренно,поверхностно,ноутбук,True
0341-a2711a6184fbd7b2338e-9a7a2b21,3,2.0,11.0,0.0,4.0,0.0,7.0,8.0,6.0,7.0,9.0,6.0,1.0,11.0,10.0,5.0,7.0,6.0,4.0,5.0,4.0,очень редко,средне,смартфон,True
034a-3392a91b1a0c261ba9de-2d59db2d,4,10.0,2.0,0.0,6.0,14.0,8.0,3.0,19.0,15.0,1.0,11.0,19.0,0.0,14.0,1.0,3.0,17.0,19.0,5.0,4.0,часто,поверхностно,смартфон,True
0350-6c1209fde87626fff037-84c8db73,2,14.0,15.0,5.0,14.0,10.0,19.0,12.0,16.0,9.0,10.0,12.0,15.0,0.0,13.0,12.0,16.0,16.0,5.0,12.0,18.0,умеренно,средне,ПК,True
0353-266d3b9c63a43adcf4a7-8380a84f,0,9.0,2.0,8.0,7.0,4.0,4.0,6.0,1.0,2.0,0.0,0.0,12.0,0.0,19.0,3.0,2.0,0.0,12.0,6.0,3.0,умеренно,средне,планшет,True
036b-a85efa206bd9e9d86fa8-20152d7f,4,7.0,2.0,11.0,4.0,12.0,4.0,2.0,15.0,13.0,4.0,3.0,9.0,2.0,1.0,4.0,6.0,4.0,10.0,0.0,3.0,очень редко,поверхностно,ПК,False
036e-0ffd00fdd61de8a08ca2-73fc0899,3,3.0,9.0,4.0,6.0,6.0,12.0,6.0,14.0,12.0,2.0,5.0,5.0,22.0,1.0,13.0,13.0,20.0,5.0,0.0,4.0,умеренно,поверхностно,ПК,False
0372-39c52898a4f518b7c22d-d5f8ed69,3,7.0,18.0,0.0,11.0,5.0,6.0,8.0,17.0,6.0,19.0,6.0,6.0,5.0,9.0,15.0,13.0,7.0,5.0,6.0,8.0,умеренно,средне,ПК,True
0377-59949b3ccfe4780bf15f-5fd5d722,3,1.0,4.0,5.0,10.0,0.0,5.0,9.0,12.0,8.0,5.0,8.0,2.0,11.0,6.0,7.0,9.0,3.0,2.0,2.0,5.0,очень редко,средне,ноутбук,True
0381-e059f6bb6f5c242b4183-a308d648,4,4.0,6.0,0.0,5.0,9.0,18.0,8.0,7.0,12.0,11.0,7.0,14.0,20.0,6.0,9.0,1.0,13.0,6.0,9.0,20.0,часто,поверхностно,смартфон,True
0394-1f92c2cb17c44b76461f-333d409c,0,3.0,0.0,16.0,7.0,10.0,7.0,2.0,3.0,8.0,5.0,9.0,9.0,21.0,2.0,1.0,7.0,1.0,21.0,15.0,19.0,умеренно,поверхностно,смартфон,False
03ca-1c5fe1162fbba801b0b6-b927a8e0,1,7.0,10.0,0.0,7.0,11.0,9.0,9.0,8.0,7.0,10.0,11.0,21.0,8.0,6.0,7.0,13.0,6.0,8.0,3.0,8.0,редко,поверхностно,смартфон,True
03d3-1e73d5484080cb6dca72-a6a27c21,4,12.0,3.0,6.0,2.0,10.0,4.0,3.0,10.0,11.0,5.0,0.0,6.0,5.0,5.0,1.0,9.0,7.0,15.0,7.0,6.0,редко,средне,ПК,False
03d4-b533b05d554fc6cc8cd3-0e89fe01,3,3.0,12.0,2.0,9.0,3.0,7.0,11.0,6.0,6.0,9.0,0.0,2.0,19.0,5.0,3.0,8.0,2.0,2.0,1.0,4.0,редко,поверхностно,смартфон,False
03d7-27de3aba1f566b8c5c1f-73264605,2,18.0,10.0,34.0,3.0,14.0,14.0,24.0,12.0,2.0,24.0,4.0,5.0,10.0,4.0,25.0,12.0,0.0,3.0,6.0,26.0,умеренно,средне,ноутбук,True
03e3-858420653e42b71308f9-0954b589,0,10.0,5.0,18.0,12.0,3.0,6.0,8.0,9.0,4.0,4.0,7.0,11.0,0.0,8.0,10.0,7.0,2.0,7.0,10.0,5.0,редко,глубоко,ноутбук,False
03e5-0202db52016742639213-3121d740,2,2.0,10.0,5.0,6.0,14.0,20.0,11.0,8.0,0.0,8.0,15.0,12.0,0.0,2.0,8.0,9.0,2.0,9.0,4.0,7.0,умеренно,глубоко,смартфон,False
03e8-f97488f643bdda1c323d-afd5eba0,2,7.0,18.0,0.0,9.0,15.0,13.0,16.0,15.0,7.0,16.0,17.0,20.0,7.0,24.0,8.0,12.0,15.0,6.0,10.0,14.0,редко,средне,ПК,True
03f4-6714774ea65064571bf6-464e862d,0,14.0,12.0,22.0,12.0,9.0,11.0,13.0,7.0,11.0,12.0,9.0,19.0,0.0,19.0,10.0,13.0,7.0,11.0,11.0,10.0,умеренно,поверхностно,планшет,True
03fa-47f15cc6492b85e0fd2e-721d01d6,2,3.0,8.0,10.0,2.0,12.0,7.0,13.0,7.0,0.0,4.0,13.0,16.0,0.0,3.0,7.0,17.0,7.0,4.0,0.0,3.0,умеренно,поверхностно,смартфон,True
0403-6c41fe2cb8cca65b7940-77f1ed5c,4,13.0,2.0,8.0,2.0,5.0,3.0,13.0,7.0,7.0,0.0,1.0,5.0,1.0,4.0,2.0,8.0,7.0,8.0,10.0,1.0,очень редко,средне,смартфон,True
041d-48afbfadf1b0387c77a8-14776807,2,6.0,21.0,4.0,7.0,28.0,25.0,12.0,21.0,7.0,6.0,32.0,6.0,15.0,32.0,0.0,37.0,26.0,13.0,2.0,17.0,редко,поверхностно,планшет,True
041e-84691425c70eaa600dfc-174a681c,2,20.0,17.0,24.0,9.0,0.0,8.0,5.0,16.0,5.0,14.0,8.0,0.0,0.0,15.0,20.0,3.0,7.0,14.0,22.0,17.0,умеренно,средне,смартфон,False
042a-f06972bc05f2b13683cc-a3b9af3a,3,0.0,14.0,13.0,15.0,0.0,11.0,16.0,11.0,20.0,12.0,7.0,5.0,25.0,14.0,15.0,19.0,6.0,9.0,8.0,14.0,умеренно,поверхностно,планшет,True
0434-0d8826129f5f15577e76-2eeb6c54,3,17.0,9.0,31.0,16.0,17.0,12.0,0.0,6.0,10.0,16.0,4.0,4.0,15.0,0.0,14.0,17.0,8.0,13.0,17.0,7.0,умеренно,средне,ПК,False
0445-b45a75f174755741b9d5-7efce677,3,4.0,6.0,0.0,5.0,3.0,4.0,5.0,6.0,9.0,16.0,3.0,5.0,8.0,4.0,4.0,6.0,10.0,0.0,5.0,5.0,редко,средне,смартфон,False
0456-748368a5ca807a6aa0d7-1abdff3b,3,11.0,5.0,0.0,8.0,4.0,6.0,0.0,16.0,6.0,12.0,5.0,3.0,1.0,4.0,11.0,1.0,5.0,10.0,6.0,5.0,очень редко,средне,планшет,True
045e-5131959911c2de07c180-19d28d3f,3,6.0,2.0,23.0,5.0,9.0,10.0,9.0,1.0,11.0,15.0,8.0,0.0,14.0,4.0,8.0,10.0,0.0,4.0,3.0,7.0,умеренно,поверхностно,ноутбук,False
0462-857181f0986d7cb57067-023b1ef2,2,13.0,11.0,15.0,4.0,6.0,10.0,14.0,15.0,3.0,24.0,4.0,0.0,1.0,3.0,9.0,3.0,4.0,1.0,6.0,4.0,очень редко,средне,смартфон,False
0468-42e15e2f6c28be1c53fc-c080f765,4,11.0,2.0,10.0,5.0,4.0,5.0,0.0,10.0,13.0,3.0,13.0,5.0,2.0,1.0,4.0,3.0,8.0,9.0,5.0,4.0,очень редко,поверхностно,планшет,False
046e-5457d3c72ee9e2b3a1bd-9b0ca5e3,4,0.0,2.0,5.0,9.0,4.0,11.0,10.0,8.0,11.0,13.0,5.0,11.0,19.0,2.0,11.0,0.0,9.0,3.0,12.0,2.0,очень редко,средне,смартфон,True
0476-2449c6ac215c1390da48-c9e485d2,0,8.0,10.0,4.0,21.0,12.0,18.0,0.0,17.0,9.0,4.0,14.0,29.0,21.0,2.0,14.0,8.0,12.0,9.0,9.0,16.0,очень редко,поверхностно,ПК,False
049d-1d24e2d2e5c9211d67fd-edf987ed,2,21.0,4.0,14.0,9.0,4.0,7.0,12.0,17.0,4.0,25.0,18.0,4.0,0.0,12.0,12.0,0.0,0.0,10.0,11.0,18.0,часто,поверхностно,смартфон,True
04a3-af2c9ac2983e77ec8a16-bf642f84,4,3.0,3.0,16.0,12.0,10.0,15.0,10.0,1.0,8.0,6.0,0.0,7.0,25.0,3.0,11.0,7.0,2.0,3.0,7.0,7.0,редко,поверхностно,смартфон,True
04a8-e3ed9f104e3dfc1e1e5e-f8b894c4,4,4.0,0.0,23.0,11.0,9.0,1.0,8.0,1.0,8.0,3.0,4.0,5.0,12.0,0.0,6.0,3.0,3.0,4.0,4.0,1.0,очень редко,поверхностно,ноутбук,False
04b1-d390f8d9d3f21f5ee786-cf58a9cc,4,0.0,16.0,6.0,8.0,8.0,3.0,12.0,5.0,6.0,8.0,6.0,12.0,34.0,1.0,8.0,3.0,9.0,12.0,14.0,10.0,умеренно,средне,смартфон,False
04b6-fea419096fa4d1cb2c0a-76437582,3,9.0,11.0,10.0,12.0,0.0,11.0,5.0,7.0,23.0,26.0,4.0,0.0,12.0,14.0,8.0,23.0,12.0,11.0,7.0,9.0,умеренно,глубоко,смартфон,False
04b9-82120e57b9fac488d753-eb0bd119,0,7.0,1.0,18.0,0.0,4.0,6.0,8.0,10.0,6.0,2.0,3.0,7.0,0.0,18.0,1.0,10.0,1.0,9.0,11.0,6.0,умеренно,средне,смартфон,False
